i,MAX_F,MIN_F,MEAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
150,5.617,5.472,5.611,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.892,4,0.4,1000,50,UX
151,5.617,5.472,5.611,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.902,4,0.4,1000,50,UX
152,5.617,5.508,5.612,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.911,4,0.4,1000,50,UX
153,5.617,5.508,5.612,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.915,4,0.4,1000,50,UX
154,5.617,5.508,5.613,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.918,4,0.4,1000,50,UX
155,5.617,5.508,5.613,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.921,4,0.4,1000,50,UX
156,5.617,5.508,5.614,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.927,4,0.4,1000,50,UX
157,5.617,5.508,5.614,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.925,4,0.4,1000,50,UX
158,5.617,5.508,5.614,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.926,4,0.4,1000,50,UX
159,5.617,5.508,5.614,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.928,4,0.4,1000,50,UX
160,5.617,5.508,5.614,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.928,4,0.4,1000,50,UX
161,5.617,5.508,5.614,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.928,4,0.4,1000,50,UX
162,5.617,5.508,5.615,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.93,4,0.4,1000,50,UX
163,5.617,5.508,5.615,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.93,4,0.4,1000,50,UX
164,5.617,5.508,5.615,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.932,4,0.4,1000,50,UX
165,5.617,5.508,5.615,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.933,4,0.4,1000,50,UX
166,5.617,5.508,5.615,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.932,4,0.4,1000,50,UX
