i,MAX_F,MIN_F,MEAN_F,MEDIAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
79,3.516,1.38,1.922,1.876,0.652,0.562,1.0,0.769,0.1,-0.02,-0.0,0.0,-0.305,0.538,0.22,0.001,8,0.5,1000,50,NONE
80,3.559,1.394,1.919,1.861,0.634,0.562,1.0,0.769,0.1,-0.02,-0.0,0.0,-0.287,0.538,0.262,0.001,8,0.5,1000,50,NONE
81,3.559,1.38,1.905,1.834,0.634,0.562,1.0,0.769,0.1,-0.02,-0.0,0.0,-0.287,0.538,0.262,0.001,8,0.5,1000,50,NONE
82,3.559,1.344,1.901,1.851,0.634,0.562,1.0,0.769,0.1,-0.02,-0.0,0.0,-0.287,0.538,0.262,0.001,8,0.5,1000,50,NONE
83,3.687,1.361,1.906,1.858,0.684,0.688,1.0,0.654,0.1,-0.02,-0.0,0.0,-0.287,0.538,0.33,0.001,8,0.5,1000,50,NONE
84,3.501,1.363,1.909,1.843,0.684,0.688,1.0,0.654,0.033,-0.039,-0.0,0.0,-0.287,0.564,0.205,0.001,8,0.5,1000,50,NONE
85,3.501,1.289,1.884,1.823,0.684,0.688,1.0,0.654,0.033,-0.039,-0.0,0.0,-0.287,0.564,0.205,0.001,8,0.5,1000,50,NONE
86,3.244,1.352,1.893,1.843,0.613,0.625,0.5,0.583,0.2,0.0,-0.0,0.0,-0.096,0.494,0.324,0.001,8,0.5,1000,50,NONE
87,3.061,1.366,1.912,1.855,0.685,0.312,1.0,0.536,0.133,0.0,-0.024,0.0,-0.196,0.46,0.154,0.001,8,0.5,1000,50,NONE
88,3.589,1.393,1.918,1.878,0.731,0.562,1.0,0.75,0.233,0.0,-0.026,0.0,-0.231,0.512,0.057,0.001,8,0.5,1000,50,NONE
89,3.589,1.355,1.906,1.857,0.731,0.562,1.0,0.75,0.233,0.0,-0.026,0.0,-0.231,0.512,0.057,0.001,8,0.5,1000,50,NONE
90,3.589,1.374,1.895,1.848,0.731,0.562,1.0,0.75,0.233,0.0,-0.026,0.0,-0.231,0.512,0.057,0.001,8,0.5,1000,50,NONE
91,3.327,1.391,1.887,1.829,0.727,0.438,1.0,0.833,0.133,0.0,-0.026,-0.125,-0.231,0.49,0.088,0.001,8,0.5,1000,50,NONE
92,3.395,1.419,1.907,1.852,0.727,0.438,1.0,0.833,0.233,0.0,-0.026,-0.125,-0.231,0.547,0.0,0.001,8,0.5,1000,50,NONE
93,3.395,1.418,1.91,1.861,0.727,0.438,1.0,0.833,0.233,0.0,-0.026,-0.125,-0.231,0.547,0.0,0.001,8,0.5,1000,50,NONE
94,3.327,1.416,1.906,1.851,0.727,0.438,1.0,0.833,0.133,0.0,-0.026,-0.125,-0.231,0.49,0.088,0.001,8,0.5,1000,50,NONE
95,3.321,1.392,1.901,1.845,0.74,0.312,1.0,0.618,0.067,0.0,-0.029,0.0,-0.17,0.601,0.182,0.001,8,0.5,1000,50,NONE
96,3.321,1.364,1.879,1.815,0.74,0.312,1.0,0.618,0.067,0.0,-0.029,0.0,-0.17,0.601,0.182,0.001,8,0.5,1000,50,NONE
97,3.288,1.379,1.891,1.838,0.576,0.562,1.0,0.385,0.133,0.0,-0.021,0.0,-0.093,0.588,0.159,0.001,8,0.5,1000,50,NONE
98,3.269,1.359,1.886,1.827,0.612,0.5,1.0,0.615,0.133,-0.024,-0.024,0.0,-0.204,0.455,0.205,0.001,8,0.5,1000,50,NONE
99,3.269,1.34,1.885,1.839,0.612,0.5,1.0,0.615,0.133,-0.024,-0.024,0.0,-0.204,0.455,0.205,0.001,8,0.5,1000,50,NONE
100,3.53,1.333,1.875,1.819,0.678,0.688,1.0,0.571,0.167,0.0,-0.029,0.0,-0.115,0.449,0.121,0.001,8,0.5,1000,50,NONE
101,3.405,1.345,1.886,1.834,0.678,0.562,1.0,0.571,0.167,0.0,-0.029,0.0,-0.115,0.449,0.121,0.001,8,0.5,1000,50,NONE
102,3.405,1.36,1.9,1.835,0.678,0.562,1.0,0.571,0.167,0.0,-0.029,0.0,-0.115,0.449,0.121,0.001,8,0.5,1000,50,NONE
103,3.493,1.37,1.895,1.828,0.74,0.438,1.0,0.8,0.133,0.0,-0.028,0.0,-0.199,0.476,0.133,0.001,8,0.5,1000,50,NONE
104,3.404,1.386,1.906,1.849,0.631,0.5,1.0,0.472,0.2,-0.025,-0.0,0.0,-0.09,0.608,0.108,0.001,8,0.5,1000,50,NONE
105,3.404,1.399,1.917,1.857,0.631,0.5,1.0,0.472,0.2,-0.025,-0.0,0.0,-0.09,0.608,0.108,0.001,8,0.5,1000,50,NONE
106,3.404,1.37,1.91,1.847,0.631,0.5,1.0,0.472,0.2,-0.025,-0.0,0.0,-0.09,0.608,0.108,0.001,8,0.5,1000,50,NONE
107,3.318,1.352,1.903,1.841,0.611,0.312,0.5,1.0,0.167,0.0,-0.018,0.0,-0.153,0.67,0.228,0.001,8,0.5,1000,50,NONE
108,3.318,1.384,1.909,1.864,0.611,0.312,0.5,1.0,0.167,0.0,-0.018,0.0,-0.153,0.67,0.228,0.001,8,0.5,1000,50,NONE
109,3.318,1.354,1.896,1.833,0.611,0.312,0.5,1.0,0.167,0.0,-0.018,0.0,-0.153,0.67,0.228,0.001,8,0.5,1000,50,NONE
110,3.318,1.397,1.905,1.844,0.611,0.312,0.5,1.0,0.167,0.0,-0.018,0.0,-0.153,0.67,0.228,0.001,8,0.5,1000,50,NONE
111,3.141,1.407,1.91,1.856,0.611,0.188,0.5,1.0,0.167,0.0,-0.018,0.0,-0.153,0.618,0.228,0.001,8,0.5,1000,50,NONE
112,3.384,1.411,1.907,1.845,0.644,0.375,1.0,0.583,0.2,0.0,-0.027,0.0,-0.165,0.717,0.057,0.001,8,0.5,1000,50,NONE
113,3.242,1.32,1.89,1.852,0.611,0.188,0.5,1.0,0.167,0.0,-0.018,0.0,-0.153,0.719,0.228,0.001,8,0.5,1000,50,NONE
114,3.164,1.292,1.873,1.836,0.583,0.312,0.5,1.0,0.167,0.0,-0.018,0.0,-0.153,0.563,0.21,0.001,8,0.5,1000,50,NONE
115,3.097,1.351,1.885,1.845,0.723,0.5,1.0,0.647,0.067,-0.049,-0.0,0.0,-0.305,0.401,0.113,0.001,8,0.5,1000,50,NONE
116,3.097,1.409,1.908,1.866,0.723,0.5,1.0,0.647,0.067,-0.049,-0.0,0.0,-0.305,0.401,0.113,0.001,8,0.5,1000,50,NONE
117,3.622,1.419,1.918,1.861,0.752,0.625,1.0,0.8,0.133,0.0,-0.026,0.0,-0.186,0.384,0.14,0.001,8,0.5,1000,50,NONE
118,3.291,1.416,1.914,1.85,0.698,0.5,1.0,0.647,0.1,0.0,-0.0,0.0,-0.125,0.407,0.065,0.001,8,0.5,1000,50,NONE
119,3.236,1.347,1.9,1.838,0.62,0.688,1.0,0.708,0.1,0.0,-0.044,-0.125,-0.236,0.393,0.132,0.001,8,0.5,1000,50,NONE
120,3.236,1.358,1.886,1.818,0.62,0.688,1.0,0.708,0.1,0.0,-0.044,-0.125,-0.236,0.393,0.132,0.001,8,0.5,1000,50,NONE
121,3.236,1.376,1.894,1.831,0.702,0.75,0.5,0.727,0.2,0.0,-0.019,0.0,-0.252,0.487,0.141,0.001,8,0.5,1000,50,NONE
122,3.178,1.4,1.906,1.855,0.646,0.688,1.0,0.542,0.1,0.0,-0.044,-0.125,-0.22,0.474,0.118,0.001,8,0.5,1000,50,NONE
123,3.178,1.41,1.918,1.872,0.646,0.688,1.0,0.542,0.1,0.0,-0.044,-0.125,-0.22,0.474,0.118,0.001,8,0.5,1000,50,NONE
124,3.088,1.403,1.909,1.858,0.522,0.375,1.0,0.7,0.133,-0.02,-0.02,0.0,-0.245,0.513,0.128,0.001,8,0.5,1000,50,NONE
125,3.071,1.402,1.904,1.846,0.597,0.312,1.0,0.591,0.0,0.0,-0.0,0.0,-0.165,0.63,0.105,0.001,8,0.5,1000,50,NONE
126,3.071,1.414,1.918,1.87,0.597,0.312,1.0,0.591,0.0,0.0,-0.0,0.0,-0.165,0.63,0.105,0.001,8,0.5,1000,50,NONE
127,3.387,1.396,1.916,1.851,0.711,0.375,1.0,0.647,0.1,0.0,-0.027,0.0,-0.071,0.452,0.2,0.001,8,0.5,1000,50,NONE
128,3.387,1.415,1.917,1.86,0.711,0.375,1.0,0.647,0.1,0.0,-0.027,0.0,-0.071,0.452,0.2,0.001,8,0.5,1000,50,NONE
129,3.718,1.424,1.917,1.856,0.731,0.688,1.0,0.806,0.133,0.0,-0.0,0.0,-0.29,0.554,0.098,0.001,8,0.5,1000,50,NONE
