i,MAX_F,MIN_F,MEAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
74,5.607,5.29,5.544,0.843,1.0,1.0,1.0,0.571,0.0,-0.0,0.0,0.0,0.939,0.254,0.003,4,0.5,300,5,1X+2X
75,5.607,5.29,5.548,0.843,1.0,1.0,1.0,0.571,0.0,-0.0,0.0,0.0,0.939,0.254,0.003,4,0.5,300,5,1X+2X
76,5.62,5.29,5.552,0.843,1.0,1.0,1.0,0.571,0.0,-0.0,0.0,0.0,0.939,0.267,0.003,4,0.5,300,5,1X+2X
77,5.62,5.29,5.555,0.843,1.0,1.0,1.0,0.571,0.0,-0.0,0.0,0.0,0.939,0.267,0.003,4,0.5,300,5,1X+2X
78,5.62,5.29,5.559,0.843,1.0,1.0,1.0,0.571,0.0,-0.0,0.0,0.0,0.939,0.267,0.003,4,0.5,300,5,1X+2X
79,5.624,5.29,5.562,0.843,1.0,1.0,1.0,0.571,0.0,-0.0,0.0,0.0,0.939,0.271,0.003,4,0.5,300,5,1X+2X
80,5.624,5.29,5.565,0.843,1.0,1.0,1.0,0.571,0.0,-0.0,0.0,0.0,0.939,0.271,0.003,4,0.5,300,5,1X+2X
81,5.624,5.29,5.567,0.843,1.0,1.0,1.0,0.571,0.0,-0.0,0.0,0.0,0.939,0.271,0.007,4,0.5,300,5,1X+2X
82,5.624,5.296,5.57,0.843,1.0,1.0,1.0,0.571,0.0,-0.0,0.0,0.0,0.939,0.271,0.007,4,0.5,300,5,1X+2X
83,5.624,5.393,5.574,0.843,1.0,1.0,1.0,0.571,0.0,-0.0,0.0,0.0,0.939,0.271,0.01,4,0.5,300,5,1X+2X
84,5.678,5.455,5.577,0.893,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.954,0.331,0.003,4,0.5,300,5,1X+2X
85,5.678,5.455,5.579,0.893,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.954,0.331,0.003,4,0.5,300,5,1X+2X
86,5.678,5.455,5.582,0.893,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.954,0.331,0.007,4,0.5,300,5,1X+2X
87,5.678,5.455,5.584,0.893,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.954,0.331,0.007,4,0.5,300,5,1X+2X
88,5.678,5.455,5.586,0.893,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.954,0.331,0.007,4,0.5,300,5,1X+2X
89,5.678,5.455,5.587,0.893,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.954,0.331,0.007,4,0.5,300,5,1X+2X
90,5.678,5.455,5.589,0.893,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.954,0.331,0.007,4,0.5,300,5,1X+2X
91,5.678,5.455,5.592,0.893,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.954,0.331,0.01,4,0.5,300,5,1X+2X
92,5.678,5.455,5.595,0.893,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.954,0.331,0.013,4,0.5,300,5,1X+2X
93,5.678,5.455,5.597,0.893,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.954,0.331,0.013,4,0.5,300,5,1X+2X
94,5.678,5.455,5.599,0.893,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.954,0.331,0.013,4,0.5,300,5,1X+2X
95,5.678,5.455,5.602,0.893,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.954,0.331,0.017,4,0.5,300,5,1X+2X
96,5.678,5.455,5.605,0.893,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.954,0.331,0.02,4,0.5,300,5,1X+2X
97,5.678,5.468,5.607,0.893,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.954,0.331,0.023,4,0.5,300,5,1X+2X
98,5.678,5.468,5.609,0.893,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.954,0.331,0.023,4,0.5,300,5,1X+2X
99,5.678,5.468,5.611,0.893,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.954,0.331,0.023,4,0.5,300,5,1X+2X
